condition,image_num,sample_id,C_coverage,Ca_coverage,Cl_coverage,Mg_coverage,Na_coverage,O_coverage,S_coverage,mds_x,mds_y
C,18,4,0.017430051116491794,0.018677697067527577,0.05007062146892655,0.08337705138552597,0.07576674737691687,0.05666868442292171,0.03083804143126177,0.00099326224358105,-0.0036802863600784953
C,19,4,0.016804546677428034,0.018765133171912834,0.04716168953457089,0.0838848533763788,0.07217850417002959,0.05874697336561743,0.02974509012644606,0.0011213844169993719,-0.002686632416741213
C,20,4,0.017719262846381492,0.02046004842615012,0.05127118644067796,0.08513922518159807,0.07867567931127253,0.06119182136131289,0.03284570890503094,0.0010938522175077154,-0.0035563457099422086
C,21,5,0.01870796341135324,0.017988297013720744,0.038542507398439604,0.08509550712940543,0.07893126177024481,0.06699959644874899,0.035788270110304006,0.0036262005354480245,-0.0030805728468401073
C,22,5,0.017050040355125102,0.01807909604519774,0.03853914447134786,0.08101627656712403,0.07813761097659402,0.06509281678773204,0.03766814635458703,0.003975408884268288,-0.003881324700651901
C,23,5,0.0167440139897767,0.017265267688996503,0.03639359698681732,0.08233454398708635,0.07590799031476998,0.06360640301318267,0.03612792574656981,0.004119135436825364,-0.0034033486891781
C,24,5,0.017393058918482647,0.016434624697336562,0.03772195318805488,0.08154761904761905,0.07670164110842077,0.06340799031476997,0.03526029055690073,0.0038787217052159485,-0.0035791938075144017
C,25,5,0.017487220877051384,0.017288808178638686,0.03843825665859564,0.08060599946193167,0.07482176486413775,0.06794121603443637,0.03845843422114609,0.004064817312462835,-0.0035940913119656675
D,1,1,0.02288471885929513,0.029196933010492334,0.0499831853645413,0.0799973096583266,0.03914447134786118,0.06402004304546677,0.021889292440139898,-0.005601192198439263,0.005413850138943797
D,2,1,0.021781678773204197,0.03022262577347323,0.05815846112456282,0.08291633037395749,0.04506322302932472,0.06640772128060264,0.02411891310196395,-0.005996045897720798,0.0035577037104820054
D,3,1,0.021011568469195586,0.029523136938391176,0.05234396018294323,0.08552596179714823,0.0450531342480495,0.07113935969868174,0.0234530535377993,-0.004669293288151468,0.004020706583464797
D,4,1,0.021892655367231638,0.03208232445520581,0.05976594027441485,0.08195453322571966,0.045843422114608554,0.07202717245090126,0.024754506322302933,-0.0066111472750385045,0.004127221484498042
D,5,1,0.023644740382028517,0.02779459241323648,0.04922988969599139,0.08619182136131288,0.051008878127522195,0.06660613397901534,0.024653618509550713,-0.0027024222834424196,0.002443408559500141
D,6,2,0.022551789077212805,0.025743206887274685,0.05078356201237557,0.08202515469464622,0.05870998116760829,0.06215698143664245,0.024983185364541298,-0.00196693738268195,0.0004217500700088271
D,7,2,0.022410546139359697,0.026069410815173527,0.05028248587570622,0.08188054882970137,0.05739843960182943,0.06324993274145817,0.025225316115146623,-0.002039380857879452,0.0006358044854857028
D,8,2,0.02129069141781006,0.026055959106806564,0.054112859833198815,0.08234126984126984,0.05882432068872747,0.06489776701641109,0.024266881894000537,-0.0026193193899404833,0.00026983374677858594
D,9,2,0.02215832660747915,0.0259348937315039,0.057768361581920905,0.08156107075598601,0.05943301049233252,0.06595372612321765,0.023590933548560667,-0.003483444258836553,7.561123390111367e-05
D,10,2,0.024603174603174603,0.02484866828087167,0.05678638687113263,0.08187718590260963,0.0580743879472693,0.06823715361850954,0.024139090664514393,-0.003396931823882252,0.000555759111249535
D,11,3,0.02055421038471886,0.020090126446058648,0.036151466236212,0.08558313155770783,0.0533091202582728,0.05104923325262308,0.023567393058918484,0.0004343804570656272,0.0013966313847584787
D,12,3,0.0202347323110035,0.019091337099811676,0.03572101156846919,0.08755716976055959,0.055679983857949956,0.05362523540489642,0.02344632768361582,0.0008226746814159045,0.0012181297440187985
D,13,3,0.021600080710250203,0.01957223567393059,0.036410411622276026,0.08471549636803874,0.056651869787463005,0.05502085014796879,0.021411756793112725,0.0004097313496869873,0.0012451506856698104
D,14,3,0.018260694108151735,0.018633979015334947,0.03799435028248588,0.08499125638956147,0.05392789884315308,0.05148641377454937,0.022188592951304816,0.00039143101951366035,0.000899094203519995
