condition,image_num,sample_id,particle_count,area_mean,area_median,area_std,area_skew,equiv_diameter_mean,equiv_diameter_median,feret_diameter_mean,feret_diameter_median,circularity_mean,circularity_std,solidity_mean,solidity_std,aspect_ratio_mean,aspect_ratio_std,eccentricity_mean,eccentricity_std,deposit_area_px,deposit_equiv_radius,deposit_center_y,deposit_center_x
A,20,4,636,270.8679245283019,200.0,204.96606558259842,2.86580500707291,17.701548231539025,15.957691216057308,26.52933656964313,22.360679774997898,0.7555899685726417,0.2202302377333412,0.8675265525918174,0.09936576397009406,1.851374153612226,0.7331780029466277,0.766408563264227,0.14784098854127917,939360,546.8158507995224,976.0793902231306,1294.864196900017
A,21,5,566,618.0636042402826,248.0,1930.8972712326088,14.3637325898542,22.738494050931237,17.769732893161912,39.088874042011916,24.53484193744942,0.7006447718421803,0.26800543367140844,0.8413897758677605,0.13387635695849742,1.9446828548712165,0.8892580565597751,0.7702572644504184,0.16468091028811557,769824,495.01776717765443,925.3766263457621,1257.532422995386
A,22,5,674,537.9762611275964,212.0,1421.215623287139,10.618537410481169,21.47444002749947,16.42944866646031,35.937778712295675,23.40939982143925,0.7211204998232652,0.2566528884091966,0.848441170096232,0.12935730369823478,1.899568267431458,0.807319514887953,0.7756495566988562,0.14963843271576407,820336,511.0000575268716,947.2848686391917,1270.8121647715082
A,23,5,817,478.3892288861689,224.0,875.8135323305142,5.7683324269355944,21.1945489848269,16.88803298257901,34.68380823723465,24.08318915758459,0.7064850719256414,0.2589102046199004,0.8383408149093128,0.1302492226456037,1.9216126445891621,0.7126448007105177,0.7877946849258528,0.14021141846168167,848160,519.593796215509,984.3106395019807,1285.5036974155819
A,24,5,760,569.6,220.0,1365.493334045536,7.090075400846706,21.971944427480288,16.73656774376801,36.93820803143178,23.40939982143925,0.7105339631143541,0.26154976268736,0.8440815909223015,0.13163197949546754,1.9446966931412695,0.8679186262960246,0.7818574333314294,0.14542679168805223,859520,523.0618638102875,1010.3523454951601,1246.0891288160833
A,25,5,1553,584.1725692208629,268.0,1969.675513884074,15.492284186911483,22.40471887606303,18.47236308621676,37.35985626800788,26.30589287593181,0.68048210169573,0.2609856443645752,0.8276483041410427,0.13483587235862343,1.8948071306212722,0.694602999620559,0.778286108668084,0.14881901702182332,964112,553.9732673951215,979.1252385614949,1302.2643261363826
B,1,1,3378,802.4760213143873,404.0,1222.5246898451326,4.9919358305677015,27.624822164313805,22.680140565547774,43.950570819365645,32.0624390837628,0.706552451736493,0.2647657226612225,0.8526525236267409,0.12732345794536676,1.8963915752067753,0.8406758450229326,0.7653245822299855,0.15600642889717375,2932064,966.0770974014393,913.522809870453,1242.5921671559693
B,2,1,1064,858.6466165413534,388.0,1359.9643080673625,4.719834890667964,28.062097939928876,22.22649192646566,46.18067706593756,31.622776601683793,0.7022755264467865,0.2668027035844017,0.8574522185188315,0.11929775608924119,2.0452246583000733,1.2855666298361292,0.7679499384329802,0.16245858935710378,1199680,617.956312579595,944.5305148039478,1290.1747932782075
B,3,1,632,968.3924050632911,460.0,1426.5366562101246,3.635949052597422,29.844597039921137,24.201036973199617,50.9619394179214,36.82386522543601,0.6495140334148793,0.2714153266527915,0.8368871753273118,0.12449804232551617,2.2167184163927316,1.384850898938448,0.7968377500012479,0.15456723986175813,729968,482.03322603095455,752.1648839401179,979.4352519562501
B,4,1,1614,668.1412639405205,272.0,1205.2316582922638,4.716058184246907,24.428526402729307,18.609705966725112,36.06271745980327,24.73863375370596,0.7930193873551451,0.23857118597616603,0.8962125763181918,0.09639448021551504,1.7294542872221537,0.6993428089854744,0.7236219609137003,0.17223265853788605,1947008,787.2432247272312,900.1764841233318,1143.3750246532115
