condition,image_num,sample_id,boundary_fractal_D,boundary_fractal_R2,particle_fractal_D,particle_fractal_R2
F,4,1,1.035791348734177,0.9995217734776067,1.2828544061665703,0.971075724941333
F,5,1,1.0485655009333454,0.9981599101436588,1.2832597256520188,0.9718650197233033
F,6,2,1.0483044907056267,0.998405819250216,1.275664530014579,0.9675869484387881
F,7,2,1.0281792414098136,0.9998765432473493,1.3158989831576569,0.9715093952421507
F,8,2,1.028411382575368,0.9997153795829521,1.3867680013216175,0.9733897979412097
F,9,2,1.058197226830402,0.998657228618647,1.341785731411606,0.9715777482255442
F,10,2,1.0170310150514152,0.9999224080676203,1.3301106061033343,0.972121643718577
F,11,3,1.0415203616310715,0.9992543895685646,1.33122776661631,0.9775158557040804
F,12,3,1.02279095293617,0.9998652854863603,1.315005682874586,0.9768174922097173
F,13,3,1.0234822360114308,0.9998928977210554,1.3411286474580901,0.9776391217006766
F,14,3,1.0192848326535737,0.9996075712228533,1.3598516428301932,0.9746965773433413
F,15,3,1.031495400610436,0.9996815278563178,1.343424915814591,0.9769330957356911
F,16,4,1.0374614840853045,0.9995515767493794,1.4014166545980653,0.9821394655586982
F,17,4,1.0374851933846623,0.999628178346697,1.3723284367303359,0.9784519555764295
F,18,4,1.0148352769787499,0.9999444929670545,1.3869200344050772,0.9812484151394836
F,19,4,1.0255083295500194,0.999489493752472,1.4074313713192244,0.9807319453234591
F,20,4,1.0591824823048799,0.9982259220299046,1.4061077578049315,0.9796317817002376
F,21,5,1.0111610642706004,0.9997131491811198,1.3988083291437823,0.980415516312296
F,22,5,1.0510927219521224,0.9986486132665323,1.2350217064671813,0.9740976366310861
F,23,5,1.0699396970516104,0.994060019581017,1.352300065066127,0.9834538448046796
F,24,5,1.0258248990934817,0.9998474497010634,1.333739492141288,0.9791301748921452
F,25,5,1.04277962040228,0.9987458797448602,1.2607577291755339,0.9747001827192013
G,1,1,1.046108834748521,0.9994414273833868,1.246511816017464,0.9744183738254948
G,2,1,1.090528501165052,0.9973721065432988,1.1924232870241933,0.9745480088733216
G,3,1,1.1535119600539048,0.994241325971426,1.054073266066366,0.9783180260230863
G,4,1,1.1002438174426308,0.9941708403390767,0.9527102476372006,0.9816622382473337
G,5,1,1.0247804167672683,0.9994432867255034,0.8701866440363352,0.9756130818228985
G,6,2,1.139774608768883,0.9930649627977065,1.2386859619790451,0.9830986777087423
G,7,2,1.03823352252545,0.9991993854589108,0.8844836810598151,0.9819979127282205
G,8,2,1.1423511989454112,0.9940910232526257,1.1485927642814355,0.9851496071280735
G,9,2,1.0490596915308898,0.9965956949404432,0.8627428064147773,0.9741167528650929
G,10,2,1.1110956923124264,0.995083724403239,1.2264672998395252,0.9835806843081478
G,11,3,1.0205014122648126,0.9997274595542679,1.4234248900993351,0.9807705740146968
G,12,3,1.0278805997022233,0.999873106092461,1.416424803359219,0.9813624869365856
G,13,3,1.0283694279983646,0.999717415380416,1.4186298892594402,0.9808674972240071
G,14,3,1.0273178410588208,0.9994691020377828,1.4280999571241535,0.9799951088759525
G,15,3,1.0321256377183623,0.9996337661592658,1.4187375514174,0.9803715893044607
G,16,4,1.0569754080806557,0.998072058060478,1.4021759938770186,0.9802079299805959
G,17,4,1.0621568054723731,0.9982719242496889,1.427559094986893,0.9832436076371126
G,18,4,1.0354313955974979,0.9995293972038343,1.434888967934937,0.9800490114039734
G,19,4,1.0961178732550179,0.9932502474194022,1.388259978969055,0.9810119246748237
G,20,4,1.0266567273909843,0.999695502372487,1.378207875018293,0.9777088769622386
G,21,5,1.0304567368502027,0.9997639213653252,1.401052354688508,0.9806705802260455
G,22,5,1.023075721287004,0.9997134677116933,1.409561958482764,0.9763444676184287
G,23,5,1.0576062087170952,0.997143674415169,1.4013286918542682,0.9760186756015813
G,24,5,1.0591744460663222,0.9978728206478404,1.364865274291181,0.9743248546370846
G,25,5,1.0699408985234868,0.9941946671063839,1.2494315292309364,0.9743365807019174
H,1,1,1.039837282446184,0.9992525195886789,1.3665735672174941,0.9773161557339497
H,2,1,1.0242618958555454,0.9997136102263643,1.3544344595416047,0.9750161293272308
H,3,1,1.036935154886825,0.9994960252578514,1.2222811107544258,0.975710654940056
H,4,1,1.054831072277303,0.9985924492068464,1.1923225185486166,0.9728131724855316
H,5,1,1.0225635578891639,0.9997241451631464,1.2841029435446627,0.9723190229718538
H,6,2,1.0408062439719437,0.9991774284479503,1.289062581496846,0.971092755075243
H,7,2,1.0343401427547223,0.9993336105981534,1.311580040223074,0.9731054951560958
H,8,2,1.0432927754296304,0.9992068636163494,1.3237438472813212,0.97210328860406
H,9,2,1.0313349680364396,0.9983480345012172,1.2950256147811336,0.973370374096296
H,10,2,1.0283135594636796,0.999055360199386,1.2905389558881513,0.9708007444685455
H,11,3,1.0213221946565776,0.9998622393723401,1.3243658862277619,0.9774673111724406
H,12,3,1.0109557950707124,0.9999737934057782,1.362526688349359,0.9796526447056152
H,13,3,1.0521511111988893,0.9986381459075198,1.408053879973899,0.9774882559496928
H,14,3,1.048561132860742,0.9986266611927856,1.4136860470804067,0.9778457898624083
H,15,3,1.0499863532035616,0.9986787192432791,1.4134565626985318,0.9774120587146741
H,16,4,1.013340061887646,0.9999221540093328,1.4014238734701703,0.9794706474737879
H,17,4,1.0459745193830983,0.9990200774448912,1.4207176383390807,0.981754328968821
H,18,4,1.0140133922475854,0.9999149780015536,1.3928161291078445,0.9842530840009646
H,19,4,1.0247950489425968,0.9995719266369218,1.4330225061607886,0.9816672437618363
H,20,4,1.047036045854868,0.9986799901905984,1.413271604671904,0.9817881548661972
H,21,5,1.0310707326146586,0.9995271226451605,1.3284289075367754,0.9781556449813287
H,22,5,1.0357245605046013,0.9992351522511465,1.2897836309786148,0.9796024349592536
H,23,5,1.0348609656481507,0.9994029367228651,1.3409432160024874,0.9767335226014523
H,24,5,1.0375241967369029,0.9991327164091429,1.370385908939411,0.9777279592693185
H,25,5,1.0409802433842728,0.9991825735185258,1.3234449643015758,0.9799969445973328
I,1,1,1.031452710209521,0.9995620834789577,1.2629692589107357,0.971328610050491
I,2,1,1.0239465515472423,0.9997154625024709,1.3466881895830995,0.9688521596615249
I,3,1,1.0331826947756058,0.9995159277858839,1.3175843164507781,0.9708213818405174
I,4,1,1.0445282265292974,0.9984522436457974,1.3410921740965616,0.9682718020088487
I,5,1,1.0367476010473808,0.9994352261464818,1.316462781798638,0.973927806299254
I,6,2,1.0275543266370781,0.9998023909516702,1.3645667604432992,0.9767966894808425
I,7,2,1.02005828137892,0.9999016246660202,1.3353707471978546,0.9755846716956079
I,8,2,1.02668833553234,0.999171095049658,1.2980355399277168,0.9679805786482931
I,9,2,1.0201017132191987,0.9995724997079287,1.3593843574745643,0.9747156997083726
I,10,2,1.0422571591276117,0.9993756061155901,1.3541401763775769,0.9747844071758055
I,11,3,1.0293233021196622,0.9997742910780028,1.271359452631647,0.9736715363248464
I,12,3,1.0186682499716733,0.9999126986326151,1.1899713113837573,0.9715623338330471
I,13,3,1.0134090734430263,0.9999179412337607,1.2807176996887766,0.9761864336018353
I,14,3,1.020499971369515,0.999910234637823,1.317808664411423,0.974964701926129
I,15,3,1.0289604962019163,0.9994321017245748,1.2866735483276006,0.9749212428070362
I,16,4,1.016528465809054,0.999916606477144,1.312170704659718,0.9769248808272049
I,17,4,1.0467673947871645,0.9985873291669628,1.3554946596348427,0.9772582621744014
I,18,4,1.0160547312870634,0.9999206919929838,1.374236953782536,0.9784900588045324
I,19,4,1.0476664795900685,0.9989794296557021,1.3274413261193057,0.9762965750125423
I,20,4,1.050250381134033,0.9990645727230398,1.3052987259845217,0.9757788767730203
I,21,5,1.051699131900672,0.9984890604759912,1.2087744075164388,0.97047943077921
I,22,5,1.0176454597799873,0.9999135392885796,1.3693824035974451,0.9811558693153356
I,23,5,1.0216193999833039,0.9998854442272727,1.170558485278594,0.9798091487232422
I,24,5,1.0074769400168926,0.9999777055561692,1.3411657482432555,0.9841912165488759
I,25,5,1.0082168420062003,0.9999784549197527,1.3387395498451138,0.9759769733269593
