condition,image_num,sample_id,particle_count,clark_evans_R,nnd_mean_um,nnd_median_um,nnd_std_um,nnd_cv,voronoi_cv,voronoi_entropy,L_max,L_max_radius_um
F,20,4,1845,1.3439182173349582,32.17137805660177,30.407258047238823,10.350693159087252,0.32173608295163547,10.86638752893055,4.948788219370961,10.549200380942409,260.05513071972706
F,21,5,1527,1.332997099260608,32.6759945859031,30.79845656648675,12.092474806591495,0.3700721266433422,7.8368305469651425,5.149511324126102,17.902292217581078,260.90009127963054
F,22,5,739,1.1077451713541453,38.61498004638573,33.909823178511076,18.251479447942977,0.47265282607989517,5.1596113307318845,5.046224280244081,22.650361688284022,165.92344015225177
F,23,5,1222,1.302097395920299,32.272871160243795,29.561039139435177,13.277732076355942,0.4114208497418251,10.994415321854902,4.279193615432873,16.05407845816083,185.4169733926685
F,24,5,1382,1.1989523269005564,33.11621598936842,30.327728821236516,12.247736023663379,0.3698410478901144,9.52748870726894,5.199422750351492,13.747976487112368,199.76522043588295
F,25,5,814,1.1613332263205722,37.3107449391258,33.47525194919822,15.338534689704902,0.4111023437010017,8.660950709411479,4.055546007932174,14.586909697116624,124.82867962339768
G,1,1,1497,1.2213297142252975,39.7621611831154,37.254417388615536,12.813515757541166,0.3222540067309595,6.898856676355364,5.105231777337954,7.5539389910127,147.0368785278436
G,2,1,1148,1.2501266113067453,43.09313309681374,40.17765483864955,15.925283782789151,0.36955502276919966,9.444893804891656,4.047438868348344,7.383992262867736,159.0560234448748
G,3,1,497,1.2945357820064733,46.92860838599002,43.44371442369485,17.95608566950546,0.38262557290887056,3.5749781933567535,4.7330517144592505,0.0,0.0
G,4,1,163,1.287839577860593,48.99317873674297,46.042144763537834,17.028068511199045,0.3475599859053166,1.9410736364021641,4.068696840349563,0.0,0.0
G,5,1,46,1.2542885231996765,52.40151611395087,48.39118724084847,19.750870943328884,0.37691411256840723,1.7816323048623945,2.732795984838343,0.0,0.0
G,6,2,1351,1.3014927179062288,38.61708566935019,35.76048158505043,13.275519605658346,0.3437732126998628,6.984716800036258,4.739496689894915,0.0,0.0
G,7,2,53,1.3708311110526155,47.86181524961957,45.68855999831036,18.11076526120496,0.378396957297789,1.2696364754474563,3.3078225297622645,0.0,0.0
