radius_bin,r_center,mean_intensity,pixel_count,condition,image_num,particle_density,n_particles
30,0.61,104.82879405945431,40939,A,7,177.09274774664746,29
31,0.63,103.61107305666438,42337,A,7,135.8150081489005,23
32,0.65,105.14526701810681,43630,A,7,114.60004584001835,20
33,0.67,105.29951787420293,45009,A,7,188.85111866515587,34
34,0.69,105.17507930684737,46339,A,7,210.4059215779365,39
35,0.71,105.56862621685129,47664,A,7,209.80194696206783,40
36,0.73,104.38956191874694,49032,A,7,173.35617555881873,34
37,0.75,103.49019880439316,50351,A,7,168.81491926674744,34
38,0.77,103.25342637876709,51731,A,7,256.132686396938,53
39,0.79,103.56005878695382,53073,A,7,197.8407099655192,42
40,0.81,104.35375398768454,53916,A,7,268.9368647525781,58
41,0.83,105.42153432527991,54304,A,7,276.22274602239247,60
42,0.85,106.57084019769357,53416,A,7,266.7740002995357,57
43,0.87,107.13497715801863,50127,A,7,244.37927663734115,49
44,0.89,108.44404916649563,43851,A,7,285.0562130852204,50
45,0.91,109.64230982507435,39674,A,7,270.95831022836114,43
46,0.9299999999999999,109.90296250702491,37367,A,7,361.2813445018332,54
47,0.95,110.9897708216881,35780,A,7,279.4857462269424,40
48,0.97,110.04463570262651,33695,A,7,326.4579314438344,44
49,0.99,110.11919405471203,31218,A,7,368.37721827151006,46
0,0.01,,0,A,8,0.0,0
1,0.03,,0,A,8,0.0,0
2,0.05,,0,A,8,0.0,0
3,0.07,,0,A,8,0.0,0
4,0.09,,0,A,8,0.0,0
5,0.11,,0,A,8,0.0,0
6,0.13,,0,A,8,0.0,0
7,0.15000000000000002,,0,A,8,0.0,0
8,0.16999999999999998,,0,A,8,0.0,0
9,0.19,,0,A,8,0.0,0
10,0.21000000000000002,,0,A,8,0.0,0
11,0.22999999999999998,,0,A,8,0.0,0
12,0.25,,0,A,8,0.0,0
13,0.27,,0,A,8,0.0,0
14,0.29000000000000004,,0,A,8,0.0,0
15,0.31,,0,A,8,0.0,0
16,0.33,,0,A,8,0.0,0
17,0.35,,0,A,8,0.0,0
18,0.37,,0,A,8,0.0,0
19,0.39,,0,A,8,0.0,0
20,0.41000000000000003,,0,A,8,0.0,0
21,0.43,,0,A,8,0.0,0
22,0.45,,0,A,8,0.0,0
23,0.47,,0,A,8,0.0,0
24,0.49,,0,A,8,0.0,0
25,0.51,,0,A,8,0.0,0
26,0.53,,0,A,8,0.0,0
27,0.55,,0,A,8,0.0,0
28,0.5700000000000001,,0,A,8,0.0,0
29,0.59,,0,A,8,0.0,0
30,0.61,,0,A,8,0.0,0
31,0.63,,0,A,8,0.0,0
32,0.65,,0,A,8,0.0,0
33,0.67,86.81818181818181,44,A,8,0.0,0
34,0.69,87.06091370558376,197,A,8,0.0,0
35,0.71,88.27146814404432,361,A,8,692.5207756232687,1
36,0.73,91.26175869120654,489,A,8,1022.4948875255625,2
37,0.75,88.6027633851468,579,A,8,0.0,0
38,0.77,87.4992125984252,635,A,8,393.70078740157487,1
39,0.79,89.26286509040334,719,A,8,695.4102920723227,2
40,0.81,83.01963048498845,866,A,8,0.0,0
41,0.83,84.79692645444567,911,A,8,274.42371020856206,1
42,0.85,89.40615058324497,943,A,8,530.2226935312832,2
43,0.87,82.9990089197225,1009,A,8,0.0,0
44,0.89,94.26126126126127,1110,A,8,0.0,0
45,0.91,96.2697419859265,1279,A,8,586.3956215793589,3
46,0.9299999999999999,92.93460826650215,1621,A,8,154.22578655151142,1
47,0.95,99.1656082071324,2047,A,8,122.12994626282365,1
48,0.97,99.74335213537469,2482,A,8,201.45044319097502,2
49,0.99,97.92301886792453,2650,A,8,94.33962264150944,1
0,0.01,91.07851239669421,242,A,9,0.0,0
1,0.03,89.5635838150289,692,A,9,722.543352601156,2
2,0.05,85.6941074523397,1154,A,9,0.0,0
3,0.07,102.63746803069054,1564,A,9,319.69309462915606,2
4,0.09,99.23799582463465,1916,A,9,391.4405010438413,3
5,0.11,94.48715637674628,2219,A,9,225.32672374943667,2
6,0.13,90.26411815812337,2302,A,9,108.60121633362294,1
