condition,image_num,r_um,L_r
A,19,412.61991446230695,-23.30064316398989
A,19,430.5599107432769,-30.340319519550803
A,19,448.49990702424674,-37.27685680682083
A,19,466.4399033052166,-44.74788081805417
A,19,484.37989958618647,-52.5146494500201
A,19,502.31989586715633,-60.53102990453982
A,19,520.2598921481261,-68.83589158594009
A,20,0.0,0.0
A,20,18.85571899308698,-11.159619594130362
A,20,37.71143798617396,5.2076873463988775
A,20,56.56715697926094,12.39779542757553
A,20,75.42287597234792,17.76033108522097
A,20,94.2785949654349,21.67483418871663
A,20,113.13431395852189,24.559206954244388
A,20,131.99003295160887,26.22050766472617
A,20,150.84575194469585,27.945751863140202
A,20,169.70147093778283,27.42987498023922
A,20,188.5571899308698,26.878614087809893
A,20,207.4129089239568,25.15705183927716
A,20,226.26862791704377,23.362752608451387
A,20,245.12434691013075,20.318572966016774
A,20,263.98006590321774,16.690253377188526
A,20,282.83578489630474,12.136740287335726
A,20,301.6915038893917,6.700331647408518
A,20,320.54722288247865,0.943454583902394
A,20,339.40294187556566,-5.574927291492202
A,20,358.25866086865267,-12.276405857832913
A,20,377.1143798617396,-19.48996471583672
A,20,395.9700988548266,-27.625101322062676
A,20,414.8258178479136,-35.78217931558629
A,20,433.6815368410006,-43.784653938103816
A,20,452.53725583408755,-52.21430523015414
A,20,471.3929748271745,-61.07465767891631
A,20,490.2486938202615,-69.63732261900242
A,20,509.1044128133485,-78.3015429682867
A,20,527.9601318064355,-87.08714481606785
A,20,546.8158507995224,-96.16996353511848
A,21,0.0,0.0
A,21,17.069578178539807,-14.593676804184105
A,21,34.139156357079614,0.6117754327398117
A,21,51.20873453561942,6.59176503373871
A,21,68.27831271415923,11.336450957315037
A,21,85.34789089269904,13.06724225534687
A,21,102.41746907123884,14.632715980831804
A,21,119.48704724977864,16.349485843365102
A,21,136.55662542831845,16.789441013562765
A,21,153.62620360685827,16.707893638332337
A,21,170.69578178539808,16.541957661682943
A,21,187.76535996393787,14.880777271585885
A,21,204.83493814247768,13.816733046125023
A,21,221.9045163210175,11.93384992923066
A,21,238.97409449955728,9.789316151688894
A,21,256.0436726780971,7.3461554190146785
A,21,273.1132508566369,4.05503376103519
A,21,290.1828290351767,0.47997821288430487
A,21,307.25240721371654,-3.300847826780739
A,21,324.32198539225635,-8.055263110716908
A,21,341.39156357079617,-11.864065444140863
A,21,358.4611417493359,-16.57152410491375
A,21,375.53071992787574,-21.225859403841184
A,21,392.60029810641555,-26.81991003633499
A,21,409.66987628495536,-32.55994192518506
